stock_code,ticker,corp_code,corp_name,sector,year,revenue,operating_income,net_income,assets,liabilities,equity,current_assets,current_liabilities,cash_and_equivalents,inventories,operating_cash_flow,investing_cash_flow,financing_cash_flow,capex,free_cash_flow,debt_ratio,current_ratio,operating_margin,net_margin,roe,fs_div,revenue_yoy,operating_income_yoy,net_income_yoy,free_cash_flow_yoy,revenue_tn_krw,operating_income_tn_krw,net_income_tn_krw,assets_tn_krw,equity_tn_krw,capex_tn_krw,free_cash_flow_tn_krw,momentum_3m,volatility_20d,per,pbr,market_cap_b,sector_market,annual_return,volatility,beta,recent_disclosure_count,latest_report_name,latest_receipt_date,latest_report_category,signal_score,investment_view,investment_reason
000660,000660.KS,00164779,SK하이닉스,semiconductor,2025,97146675000000.0,47206319000000.0,42947902000000.0,176107659000000.0,55440908000000.0,120666751000000.0,69458073000000.0,37378999000000.0,14923766000000.0,14289390000000.0,,,,28579343000000.0,,45.9455,185.8211,48.5928,44.2093,35.5922,CFS,46.7629,101.1577,116.9425,,97.15,47.21,42.95,176.1077,120.6668,28.5793,,-0.2434,0.2397,14.8,1.62,120000,semiconductor,-0.5066,0.2494,1.0,8,임원ㆍ주요주주특정증권등소유상황보고서,20260508,insider,93.5,공시상 우호적,매출이 전년보다 커졌어요 / 영업이익이 더 잘 남고 있어요 / 빚 부담이 비교적 낮아요
207940,207940.KS,00877059,삼성바이오로직스,bio,2025,4556971695180.0,2069221266630.0,1784352060593.0,11060741976837.0,3609631328852.0,7451110647985.0,4408366515907.0,2532917332501.0,148851266520.0,2128164162722.0,,-1862425927878.0,-620504462845.0,1475073515293.0,,48.4442,174.043,45.4078,39.1565,23.9475,CFS,0.2122,56.753,64.7121,,4.56,2.07,1.78,11.0607,7.4511,1.4751,,-0.0629,0.2384,32.6,5.43,55000,bio,0.0129,0.2632,1.0,8,최대주주등소유주식변동신고서,20260504,insider,91.6,공시상 우호적,영업이익이 더 잘 남고 있어요 / 빚 부담이 비교적 낮아요 / 당장 쓸 수 있는 돈이 단기 빚보다 많아요
035720,035720.KS,00258801,카카오,internet,2025,8099147815086.0,732036535379.0,517959587282.0,27783524545811.0,12558602529761.0,15224922016050.0,12374175844165.0,8779746217432.0,6373784263399.0,76540621667.0,,-478201170293.0,-708211857386.0,614373324796.0,,82.4871,140.94,9.0384,6.3952,3.4021,CFS,2.8895,59.065,-419.9838,,8.1,0.73,0.52,27.7835,15.2249,0.6144,,0.1673,0.2485,28.1,1.54,18000,internet,-0.132,0.2517,1.0,8,임원ㆍ주요주주특정증권등소유상황보고서,20260508,insider,84.4,공시상 우호적,영업이익이 더 잘 남고 있어요 / 빚 부담이 비교적 낮아요 / 당장 쓸 수 있는 돈이 단기 빚보다 많아요
005930,005930.KS,00126380,삼성전자,semiconductor,2025,333605938000000.0,43601051000000.0,45206805000000.0,566942110000000.0,130621773000000.0,436320337000000.0,247684612000000.0,106411348000000.0,57856378000000.0,52636828000000.0,85315148000000.0,-68512206000000.0,-13478040000000.0,52153149000000.0,33161999000000.0,29.9371,232.7615,13.0696,13.551,10.3609,CFS,10.8801,33.2308,31.2193,72.3509,333.61,43.6,45.21,566.9421,436.3203,52.1531,33.16,-0.0938,0.2427,12.5,1.15,350000,semiconductor,-0.2717,0.259,1.0,8,임원ㆍ주요주주특정증권등소유상황보고서,20260511,insider,83.6,공시상 우호적,매출이 전년보다 커졌어요 / 영업이익이 더 잘 남고 있어요 / 빚 부담이 비교적 낮아요
035420,035420.KS,00266961,NAVER,internet,2025,12035007218975.0,2208138388720.0,1818746310015.0,41084496327318.0,12131482961723.0,28953013365595.0,10928462735839.0,8018876510291.0,5984018799741.0,20235420058.0,3095806604677.0,-743677268012.0,-524459708761.0,1319383789510.0,1776422815167.0,41.9006,136.2842,18.3476,15.1121,6.2817,CFS,12.0816,11.5636,-5.8608,-11.6106,12.04,2.21,1.82,41.0845,28.953,1.3194,1.78,-0.232,0.256,22.3,1.18,27000,internet,-0.448,0.2614,1.0,8,기업설명회(IR)개최(안내공시),20260506,general,69.7,관심 관찰,매출이 전년보다 커졌어요 / 영업이익이 더 잘 남고 있어요 / 빚 부담이 비교적 낮아요
051910,051910.KS,00356361,LG화학,battery,2025,45932167000000.0,1180900000000.0,-977063000000.0,101061661000000.0,53956116000000.0,47105545000000.0,32526899000000.0,26137148000000.0,9899926000000.0,8177310000000.0,8233859000000.0,-12470600000000.0,6242992000000.0,13856671000000.0,-5622812000000.0,114.543,124.447,2.571,-2.1272,-2.0742,CFS,-6.1001,28.807,-289.7169,-27.6112,45.93,1.18,-0.98,101.0617,47.1055,13.8567,-5.62,-0.0371,0.2264,16.2,0.98,20000,battery,-0.2121,0.2405,1.0,8,특수관계인에대한자산양도,20260506,general,54.9,중립,영업이익이 더 잘 남고 있어요 / 빚 부담이 비교적 낮아요 / 당장 쓸 수 있는 돈이 단기 빚보다 많아요
373220,373220.KS,01515323,LG에너지솔루션,battery,2025,23671759000000.0,1346120000000.0,80803000000.0,67147953000000.0,37826277000000.0,29321676000000.0,18412127000000.0,16785357000000.0,3779307000000.0,4350407000000.0,4432277000000.0,-10881277000000.0,6285926000000.0,10998675000000.0,-6566398000000.0,129.0045,109.6916,5.6866,0.3413,0.2756,CFS,-7.6029,133.9504,-76.1363,-11.3687,23.67,1.35,0.08,67.148,29.3217,10.9987,-6.57,-0.0165,0.2267,38.5,3.12,72000,battery,0.2508,0.2566,1.0,8,[기재정정]연결재무제표기준영업(잠정)실적(공정공시),20260430,correction,48.7,중립,영업이익이 더 잘 남고 있어요 / 당장 쓸 수 있는 돈이 단기 빚보다 많아요
105560,105560.KS,00688996,KB금융,banking,2025,,8517711000000.0,5840715000000.0,797923033000000.0,737093044000000.0,60829989000000.0,,,29020564000000.0,,,,,554969000000.0,,1211.7264,,,,9.6017,CFS,,5.8724,16.1498,,,8.52,5.84,797.923,60.83,0.555,,0.1068,0.2419,6.8,0.52,25000,banking,0.7119,0.2639,1.0,8,[발행조건확정]증권신고서(채무증권),20260508,general,39.2,보수 점검,영업이익이 더 잘 남고 있어요 / 최근 3개월 주가 흐름도 나쁘지 않아요
