ticker,year,revenue,operating_income,depreciation,capex,free_cash_flow,eps,tax_rate,working_capital_change
000660.KS,2023,32766.0,-7730.0,5980,8780.0,-4502.0,3255,0.22,393.0
000660.KS,2024,66193.0,23467.0,6230,16663.0,5480.0,5110,0.22,505.0
000660.KS,2025,97147.0,47206.0,6540,28579.0,7020.0,6288,0.22,586.0
005930.KS,2023,258935.0,6567.0,34610,60534.0,-16397.0,8057,0.22,3107.0
005930.KS,2024,300871.0,32726.0,35280,53742.0,19241.0,8421,0.22,3257.0
005930.KS,2025,333606.0,43601.0,36540,52153.0,33162.0,9138,0.22,3479.0
